wijk,part,order,long,lat
Havens-West,1,19,4.79270750680086,52.3991404742834
Havens-West,1,20,4.77500395570446,52.3991235014659
Havens-West,1,21,4.77298455017291,52.3948220912159
Havens-West,1,22,4.77062626924939,52.3973712289576
Havens-West,1,23,4.7712451573112,52.3983882755101
Havens-West,1,24,4.76740509012068,52.3992664068948
Havens-West,1,25,4.7598127215473,52.4002138739376
Havens-West,1,26,4.75936434394197,52.3989069533091
Havens-West,1,27,4.75828547282742,52.3992022025152
Havens-West,1,28,4.7574819941979,52.3968827781205
Havens-West,1,29,4.72875892771866,52.4007113478502
Havens-West,1,30,4.73920809583996,52.4310638297127
Havens-West,1,31,4.76718363635674,52.4274681396432
Coenhaven/Minervahaven,1,0,4.87644091508347,52.3945584174739
Coenhaven/Minervahaven,1,1,4.87177292629121,52.3946196155955
Coenhaven/Minervahaven,1,2,4.87128107219718,52.3952599585994
Coenhaven/Minervahaven,1,3,4.86721313162059,52.3933391624518
Coenhaven/Minervahaven,1,4,4.86421946703069,52.3928697666901
Coenhaven/Minervahaven,1,5,4.85892208712003,52.3952548236719
Coenhaven/Minervahaven,1,6,4.84431243113299,52.3953024920857
Coenhaven/Minervahaven,1,7,4.84624678088843,52.3984755676441
Coenhaven/Minervahaven,1,8,4.85970498970719,52.4097493828553
Coenhaven/Minervahaven,1,9,4.86362558087544,52.4139036837023
Coenhaven/Minervahaven,1,10,4.87098529153662,52.4101306252102
Coenhaven/Minervahaven,1,11,4.88585529318771,52.3993768797906
Coenhaven/Minervahaven,1,12,4.87644091508347,52.3945584174739
Sloterdijk-West,1,0,4.84422632043465,52.3949427602161
Sloterdijk-West,1,1,4.85689900976529,52.3954005243061
Sloterdijk-West,1,2,4.85730632989853,52.392384666815
Sloterdijk-West,1,3,4.85879689303847,52.3911806207457
Sloterdijk-West,1,4,4.85916455228413,52.3889312017019
Sloterdijk-West,1,5,4.86495639269409,52.3889651246918
Sloterdijk-West,1,6,4.86491025346549,52.3880559684742
Sloterdijk-West,1,7,4.86318373822481,52.3880266995121
Sloterdijk-West,1,8,4.86420210547347,52.3854515691613
Sloterdijk-West,1,9,4.84480709521064,52.385106245847
Sloterdijk-West,1,10,4.84422632043465,52.3949427602161
Spaarndammerbuurt/Zeeheldenbuurt,1,0,4.86263772818037,52.3940144454237
Spaarndammerbuurt/Zeeheldenbuurt,1,1,4.86421946703069,52.3928697666901
Spaarndammerbuurt/Zeeheldenbuurt,1,2,4.87642357151376,52.3928020960329
Spaarndammerbuurt/Zeeheldenbuurt,1,3,4.8783929109806,52.391598161041
Spaarndammerbuurt/Zeeheldenbuurt,1,4,4.89136502210545,52.3900297603573
Spaarndammerbuurt/Zeeheldenbuurt,1,5,4.89193426686057,52.3890856137278
Spaarndammerbuurt/Zeeheldenbuurt,1,6,4.89100918654123,52.388439832567
Spaarndammerbuurt/Zeeheldenbuurt,1,7,4.88447894406484,52.3883784549653
Spaarndammerbuurt/Zeeheldenbuurt,1,8,4.88258544716241,52.3854603774945
Spaarndammerbuurt/Zeeheldenbuurt,1,9,4.86420210547347,52.3854515691613
Spaarndammerbuurt/Zeeheldenbuurt,1,10,4.86318373822481,52.3880266995121
Spaarndammerbuurt/Zeeheldenbuurt,1,11,4.86491025346549,52.3880559684742
Spaarndammerbuurt/Zeeheldenbuurt,1,12,4.86495639269409,52.3889651246918
Spaarndammerbuurt/Zeeheldenbuurt,1,13,4.85916455228413,52.3889312017019
Spaarndammerbuurt/Zeeheldenbuurt,1,14,4.85879689303847,52.3911806207457
Spaarndammerbuurt/Zeeheldenbuurt,1,15,4.85730632989853,52.392384666815
Spaarndammerbuurt/Zeeheldenbuurt,1,16,4.85689900976529,52.3954005243061
Spaarndammerbuurt/Zeeheldenbuurt,1,17,4.86263772818037,52.3940144454237
Houthavens,1,0,4.88585529318771,52.3993768797906
Houthavens,1,1,4.89365450419078,52.3928231561992
Houthavens,1,2,4.89507756612654,52.3886909274334
Houthavens,1,3,4.89100918654123,52.388439832567
Houthavens,1,4,4.89193426686057,52.3890856137278
Houthavens,1,5,4.89136502210545,52.3900297603573
Houthavens,1,6,4.8783929109806,52.391598161041
Houthavens,1,7,4.87642357151376,52.3928020960329
Houthavens,1,8,4.86554516262053,52.3931461153701
Houthavens,1,9,4.87128107219718,52.3952599585994
Houthavens,1,10,4.87177292629121,52.3946196155955
Houthavens,1,11,4.87644091508347,52.3945584174739
Houthavens,1,12,4.88585529318771,52.3993768797906
De Kolenkit,1,0,4.84457392953958,52.3851013399509
De Kolenkit,1,1,4.84478067033904,52.3804127282695
De Kolenkit,1,2,4.8440619731392,52.3779018131239
De Kolenkit,1,3,4.84607632662583,52.3779482447723
De Kolenkit,1,4,4.84741169112173,52.3754695559634
De Kolenkit,1,5,4.84555160676459,52.3751966425587
De Kolenkit,1,6,4.84677774071347,52.3724103938881
De Kolenkit,1,7,4.83533106486001,52.3731508252849
De Kolenkit,1,8,4.83929960111105,52.3826944012975
De Kolenkit,1,9,4.83925155853437,52.3850155727677
De Kolenkit,1,10,4.84457392953958,52.3851013399509
Landlust,1,0,4.86066741521221,52.385392253204
Landlust,1,1,4.86443349530816,52.3754112133101
Landlust,1,2,4.85556244463296,52.3743559405612
Landlust,1,3,4.85466215575228,52.3765984581872
Landlust,1,4,4.85679720390574,52.3768489211233
Landlust,1,5,4.85636433393735,52.378158433866
Landlust,1,6,4.85361202226873,52.3800721141542
Landlust,1,7,4.85194368884189,52.3791389034284
Landlust,1,8,4.8440619731392,52.3779018131239
Landlust,1,9,4.84478067033904,52.3804127282695
Landlust,1,10,4.84457392953958,52.3851013399509
Landlust,1,11,4.86066741521221,52.385392253204
Erasmuspark,1,0,4.85361202226873,52.3800721141542
Erasmuspark,1,1,4.85636433393735,52.378158433866
Erasmuspark,1,2,4.85679720390574,52.3768489211233
Erasmuspark,1,3,4.85466215575228,52.3765984581872
Erasmuspark,1,4,4.85556244463296,52.3743559405612
