breakdown,groep,year,n_totaal,variable,value,name,type
yearly_total,,2020,891300,heeft_eerste_jaar_acute_beroerte_event_n_totaal_gebruikers,1030,heeft_eerste_jaar_acute_beroerte_event,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_eerste_jaar_acute_beroerte_event_n_totaal_gebruikers,1040,heeft_eerste_jaar_acute_beroerte_event,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_eerste_jaar_acute_beroerte_event_n_totaal_gebruikers,1020,heeft_eerste_jaar_acute_beroerte_event,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_eerste_jaar_acute_beroerte_event_n_totaal_gebruikers,980,heeft_eerste_jaar_acute_beroerte_event,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_eerste_jaar_acute_beroerte_event_n_totaal_gebruikers,150,heeft_eerste_jaar_acute_beroerte_event,n_totaal_gebruikers
yearly_total,,2009,773110,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,3270,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2010,785260,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,3070,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2011,798130,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,3020,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2012,808380,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,2520,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2013,817760,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,2490,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2014,829140,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,2250,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2015,840240,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,2320,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,2300,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,2180,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,2080,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,2080,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,2220,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,2760,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,3330,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,3750,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_eerste_jaar_diabetes_type_2_n_totaal_gebruikers,4050,heeft_eerste_jaar_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_eerste_jaar_hi_event_n_totaal_gebruikers,1060,heeft_eerste_jaar_hi_event,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_eerste_jaar_hi_event_n_totaal_gebruikers,970,heeft_eerste_jaar_hi_event,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_eerste_jaar_hi_event_n_totaal_gebruikers,980,heeft_eerste_jaar_hi_event,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_eerste_jaar_hi_event_n_totaal_gebruikers,930,heeft_eerste_jaar_hi_event,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_eerste_jaar_hi_event_n_totaal_gebruikers,930,heeft_eerste_jaar_hi_event,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_eerste_jaar_hi_event_n_totaal_gebruikers,910,heeft_eerste_jaar_hi_event,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_eerste_jaar_hi_event_n_totaal_gebruikers,930,heeft_eerste_jaar_hi_event,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_eerste_jaar_hi_event_n_totaal_gebruikers,880,heeft_eerste_jaar_hi_event,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_eerste_jaar_hi_event_n_totaal_gebruikers,180,heeft_eerste_jaar_hi_event,n_totaal_gebruikers
yearly_total,,2009,773110,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,7670,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2010,785260,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,7360,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2011,798130,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,7080,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2012,808380,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,6920,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2013,817760,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,6120,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2014,829140,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,6420,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2015,840240,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,6000,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,6310,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,6340,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,5880,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,5520,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,4650,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,5230,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,5250,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,5920,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_eerste_jaar_hoog_cholesterol_n_totaal_gebruikers,6470,heeft_eerste_jaar_hoog_cholesterol,n_totaal_gebruikers
yearly_total,,2009,773110,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,12330,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2010,785260,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,11430,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2011,798130,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,10920,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2012,808380,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,10350,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2013,817760,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,9370,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2014,829140,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,8970,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2015,840240,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,8560,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,8360,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,8200,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,7910,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,7820,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,7070,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,7750,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,7930,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,8450,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_eerste_jaar_hypertensie_n_totaal_gebruikers,8660,heeft_eerste_jaar_hypertensie,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_eerste_jaar_major_cvd_event_n_totaal_gebruikers,2140,heeft_eerste_jaar_major_cvd_event,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_eerste_jaar_major_cvd_event_n_totaal_gebruikers,2060,heeft_eerste_jaar_major_cvd_event,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_eerste_jaar_major_cvd_event_n_totaal_gebruikers,1940,heeft_eerste_jaar_major_cvd_event,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_eerste_jaar_major_cvd_event_n_totaal_gebruikers,1960,heeft_eerste_jaar_major_cvd_event,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_eerste_jaar_major_cvd_event_n_totaal_gebruikers,1900,heeft_eerste_jaar_major_cvd_event,n_totaal_gebruikers
